"infgeneral.date.sq.","infgeneral.values.sq.","infsub_total.values.sq.","infmerc.values.sq.","infserv.values.sq.","infnosub.values.sq.","infagro.values.sq.","infenerg.values.sq."
1993-07-01,0.48,0.41,NA,NA,0.7,NA,NA
1993-06-01,0.56,0.43,NA,NA,1,NA,NA
1993-05-01,0.57,0.44,NA,NA,0.99,NA,NA
1993-04-01,0.58,0.67,NA,NA,0.28,NA,NA
1993-03-01,0.58,1.01,NA,NA,-0.81,NA,NA
1993-02-01,0.82,1.12,NA,NA,-0.14,NA,NA
1993-01-01,1.25,1.26,NA,NA,1.25,NA,NA
1992-12-01,1.42,0.99,NA,NA,2.85,NA,NA
1992-11-01,0.83,0.71,NA,NA,1.21,NA,NA
1992-10-01,0.72,0.67,NA,NA,0.9,NA,NA
1992-09-01,0.87,1.12,NA,NA,0.07,NA,NA
1992-08-01,0.61,0.87,NA,NA,-0.21,NA,NA
1992-07-01,0.63,0.82,NA,NA,0.04,NA,NA
1992-06-01,0.68,0.99,NA,NA,-0.32,NA,NA
1992-05-01,0.66,1.22,NA,NA,-1.05,NA,NA
1992-04-01,0.89,0.93,NA,NA,0.77,NA,NA
1992-03-01,1.02,0.91,NA,NA,1.36,NA,NA
1992-02-01,1.18,1.1,NA,NA,1.45,NA,NA
1992-01-01,1.82,1.85,NA,NA,1.73,NA,NA
1991-12-01,2.35,1.78,NA,NA,4.18,NA,NA
1991-11-01,2.48,0.95,NA,NA,7.66,NA,NA
1991-10-01,1.16,1.38,NA,NA,0.43,NA,NA
1991-09-01,1,1.39,NA,NA,-0.3,NA,NA
1991-08-01,0.7,0.91,NA,NA,-0.01,NA,NA
1991-07-01,0.88,0.89,NA,NA,0.86,NA,NA
1991-06-01,1.05,0.95,NA,NA,1.39,NA,NA
1991-05-01,0.98,0.95,NA,NA,1.07,NA,NA
1991-04-01,1.05,1.09,NA,NA,0.89,NA,NA
1991-03-01,1.43,1.49,NA,NA,1.22,NA,NA
1991-02-01,1.75,1.94,NA,NA,1.13,NA,NA
1991-01-01,2.55,2.67,NA,NA,2.17,NA,NA
1990-12-01,3.15,2.85,NA,NA,4.15,NA,NA
1990-11-01,2.66,2.16,NA,NA,4.31,NA,NA
1990-10-01,1.44,1.61,NA,NA,0.88,NA,NA
1990-09-01,1.43,1.63,NA,NA,0.74,NA,NA
1990-08-01,1.7,1.81,NA,NA,1.37,NA,NA
1990-07-01,1.82,2,NA,NA,1.24,NA,NA
1990-06-01,2.2,2.51,NA,NA,1.22,NA,NA
1990-05-01,1.75,2.31,NA,NA,-0.01,NA,NA
1990-04-01,1.52,1.96,NA,NA,0.17,NA,NA
1990-03-01,1.76,1.53,NA,NA,2.5,NA,NA
1990-02-01,2.26,1.84,NA,NA,3.61,NA,NA
1990-01-01,4.83,3.85,NA,NA,8.01,NA,NA
1989-12-01,3.37,2.92,NA,NA,4.91,NA,NA
1989-11-01,1.4,1.55,NA,NA,0.91,NA,NA
1989-10-01,1.48,1.78,NA,NA,0.49,NA,NA
1989-09-01,0.96,1.53,NA,NA,-0.87,NA,NA
1989-08-01,0.95,1.17,NA,NA,0.27,NA,NA
1989-07-01,1,0.91,NA,NA,1.28,NA,NA
1989-06-01,1.21,0.93,NA,NA,2.12,NA,NA
1989-05-01,1.38,1.04,NA,NA,2.47,NA,NA
1989-04-01,1.5,1.22,NA,NA,2.42,NA,NA
1989-03-01,1.08,1.37,NA,NA,0.15,NA,NA
1989-02-01,1.36,2.01,NA,NA,-0.73,NA,NA
1989-01-01,2.45,3.18,NA,NA,0.18,NA,NA
1988-12-01,2.09,1.85,NA,NA,2.84,NA,NA
1988-11-01,1.34,0.85,NA,NA,2.9,NA,NA
1988-10-01,0.76,0.64,NA,NA,1.17,NA,NA
1988-09-01,0.57,0.23,NA,NA,1.69,NA,NA
1988-08-01,0.92,1,NA,NA,0.67,NA,NA
1988-07-01,1.67,0.98,NA,NA,3.97,NA,NA
1988-06-01,2.04,1.37,NA,NA,4.32,NA,NA
1988-05-01,1.93,1.93,NA,NA,1.95,NA,NA
1988-04-01,3.08,2.89,NA,NA,3.71,NA,NA
1988-03-01,5.12,5.97,NA,NA,2.29,NA,NA
1988-02-01,8.34,10.39,NA,NA,2.03,NA,NA
1988-01-01,15.46,13.21,NA,NA,23.01,NA,NA
1987-12-01,14.77,12.46,NA,NA,23.24,NA,NA
1987-11-01,7.93,9.29,NA,NA,3.22,NA,NA
1987-10-01,8.33,8.76,NA,NA,6.88,NA,NA
1987-09-01,6.59,7.47,NA,NA,3.7,NA,NA
1987-08-01,8.17,7.33,NA,NA,11.03,NA,NA
1987-07-01,8.1,8.6,NA,NA,6.44,NA,NA
1987-06-01,7.23,7.46,NA,NA,6.5,NA,NA
1987-05-01,7.54,7.23,NA,NA,8.56,NA,NA
1987-04-01,8.75,7.27,NA,NA,14.01,NA,NA
1987-03-01,6.61,7.04,NA,NA,5.12,NA,NA
1987-02-01,7.22,7.55,NA,NA,6.08,NA,NA
1987-01-01,8.1,8.3,NA,NA,7.41,NA,NA
1986-12-01,7.9,7.71,NA,NA,8.54,NA,NA
1986-11-01,6.76,6.77,NA,NA,6.73,NA,NA
1986-10-01,5.72,6.59,NA,NA,2.82,NA,NA
