"imcp_total.date","imcp_total.values","imcp_nacional.values","imcp_nacional_bienes.values","imcp_nacional_servicios.values","imcp_importado.values"
2005-11-01,92.052038641182,92.258666982088,104.290772730931,80.019423245102,90.18808815942
2005-10-01,90.228784133333,90.917613650962,102.509563373205,79.126103420007,84.014999007799
2005-09-01,89.400998575356,90.358064427983,101.047997438049,79.484099523309,80.767510307209
2005-08-01,90.478287516936,91.798984354002,100.943941106172,82.496593152464,78.564561186301
2005-07-01,88.693539081519,90.774158818598,98.331937557042,83.086269597801,69.924709286524
2005-06-01,89.111146483001,90.734055234622,99.388392657636,81.930729589601,74.471230505501
2005-05-01,90.300087244886,92.392228235602,100.765985066827,83.874313500564,71.427326662025
2005-04-01,89.352152183833,90.946295634601,97.898316500668,83.874592674162,74.971721890372
2005-03-01,87.275214918218,88.870595521112,95.58185224107,82.043801567364,72.883624537573
2005-02-01,83.409446639724,85.349263429983,90.324036515879,80.28884743918,65.910770393897
2005-01-01,86.003213696583,88.702713488004,94.930760935066,82.367447467139,61.651598063097
2004-12-01,92.996829543418,93.867626449448,104.50590294628,83.046207347583,85.141555163379
2004-11-01,91.033436670142,91.539134369336,103.014757287007,79.865953560015,86.47164487574
2004-10-01,87.992699334739,89.215836501277,99.631297289807,78.621068978053,76.959038120464
2004-09-01,86.469403775678,87.926910336573,97.039274201763,78.657673122888,73.321545914387
2004-08-01,87.17811548181,88.944229014061,96.109813271541,81.655286074574,71.246379521264
2004-07-01,87.877134610672,90.638688215137,98.378289020624,82.765846780508,62.965744678028
2004-06-01,87.595632491537,89.941835076765,99.068035188706,80.65852341926,66.431036096559
2004-05-01,86.651646060991,89.179118617099,96.123865077857,82.114815294052,63.851851667188
2004-04-01,84.618706202995,86.882728218259,91.579954128827,82.104637499378,64.195443316792
2004-03-01,87.492848027951,89.299843704926,98.716981635352,79.720585606536,71.192322902185
2004-02-01,80.18975513438,82.863258852878,87.553778261279,78.091990091548,56.072644566542
2004-01-01,81.845783290711,85.421937372455,91.033649018003,79.713617644785,49.58605505457
2003-12-01,89.022359899124,90.704493392924,101.046017857548,80.184935039914,73.848190071293
2003-11-01,84.229873850435,86.134225790587,95.535641099902,76.570960985138,67.051118502931
2003-10-01,85.731218179588,87.022800234745,98.582854314478,75.263734743802,74.080130127562
2003-09-01,82.178605776897,84.138828340857,93.463339620195,74.653791502059,64.495853370201
2003-08-01,81.782464276957,84.289817021702,91.111954832797,77.350233110105,59.164166438369
2003-07-01,83.980247855932,86.664935701157,94.541259170637,78.653017861791,59.762247650638
2003-06-01,82.176679227294,85.110475078817,93.194298653903,76.887484928336,55.711528479576
2003-05-01,83.33754536974,86.193524538141,93.538864265944,78.721731558911,57.574362432239
2003-04-01,81.664512458726,83.641202784885,88.89328696287,78.298701669674,63.833207858516
2003-03-01,82.102138466811,84.412387485255,92.739969083396,75.94144291023,61.261871579749
2003-02-01,77.484970712333,79.933003513352,85.382617199354,74.389572332837,55.401785517048
2003-01-01,80.961262494806,83.047932201666,89.743276192426,76.237324921744,62.137857204317
2002-12-01,83.778865214222,86.107707562072,95.799431422947,76.249136415769,62.77087184224
2002-11-01,82.034404642586,83.89342575458,94.072682061582,73.538929076837,65.264569090949
2002-10-01,84.405940290224,85.91793397808,98.643752380559,72.973035019264,70.766565601651
2002-09-01,79.275557832538,81.788769805579,90.87188775118,72.54928199284,56.604405136969
2002-08-01,81.476064510288,84.063060198971,92.456348507174,75.525277743995,58.139324549609
2002-07-01,82.706532206849,85.680800353188,94.630991173572,76.576528064544,55.876289463089
2002-06-01,80.588852654109,83.499970417434,91.662457017596,75.196963023331,54.328276134867
2002-05-01,82.84944194987,85.346771627367,93.741393648254,76.807632499257,60.321560077171
2002-04-01,82.740538372857,84.755646470265,92.802190514611,76.57057763403,64.562675198367
2002-03-01,79.298798219579,82.098880770855,89.895237602256,74.168306230384,54.039846821472
2002-02-01,74.839981647317,77.737644899682,83.072809261567,72.310633338694,48.700775420625
2002-01-01,78.435467392048,81.693629484694,88.647704271317,74.619837244554,49.044277511671
2001-12-01,82.873925816895,85.239839471079,95.371014981531,74.934251321929,61.531520045351
2001-11-01,81.649530492805,83.48138810494,94.27338248528,72.50360479865,65.12473111784
2001-10-01,82.602442662148,84.510151123379,96.93063012569,71.87584811669,65.393408849188
2001-09-01,77.962941169273,80.798366199335,89.394615063062,72.054129133676,52.3851727586
