"SF43707.date","SF43707.value"
2010-05-14,98034.7
2010-05-21,98062
2010-05-28,97994.3
2010-06-04,98010
2010-06-11,98130.9
2010-06-18,100096.4
2010-06-25,100362.9
2010-07-02,101547.4
2010-07-09,101729.3
2010-07-16,102868.8
2010-07-23,103416.2
2010-07-30,104865.3
2010-08-06,105622
2010-08-13,106300.4
2010-08-20,106286.3
2010-08-27,106239
2010-09-03,106927.7
2010-09-10,106861.4
2010-09-15,106989
2010-09-24,108029.9
2010-10-01,108384.9
2010-10-08,109061.3
2010-10-15,109697.2
2010-10-22,109477
2010-10-29,110657.8
2010-11-05,110938.4
2010-11-12,110445
2010-11-19,110134.1
2010-11-26,110544.4
2010-12-03,111453.7
2010-12-10,111036.3
2010-12-17,111885.6
2010-12-24,112995.7
2010-12-31,113596.5
2011-01-07,116861.4
2011-01-14,116573.3
2011-01-21,117564.5
2011-01-28,118458.5
2011-02-04,118548.9
2011-02-11,118528.5
2011-02-18,119485
2011-02-25,121754.3
2011-03-04,121906.1
2011-03-11,122083.7
2011-03-18,122051.5
2011-03-25,121884.7
2011-04-01,122593.2
2011-04-08,123149
2011-04-15,124289.6
2011-04-20,125304.9
2011-04-29,125793.8
2011-05-06,125647.6
2011-05-13,125837.7
2011-05-20,126698.5
2011-05-27,127982.1
2011-06-03,128508.9
2011-06-10,129593.3
2011-06-17,129568.6
2011-06-24,129565.8
2011-07-01,129203.2
2011-07-08,130857.9
2011-07-15,131156.2
2011-07-22,132814.3
2011-07-29,134011.4
2011-08-05,133892.5
2011-08-12,134534
2011-08-19,136128
2011-08-26,136820.2
2011-09-02,137038.2
2011-09-09,136455.6
2011-09-15,136075.7
2011-09-23,136454.2
2011-09-30,137962
2011-10-07,138022
2011-10-14,138799.1
2011-10-21,138901.1
2011-10-28,140486.5
2011-11-04,140385.4
2011-11-11,140375.2
2011-11-18,140024.5
2011-11-25,139611.9
2011-12-02,141467.3
2011-12-09,141303.6
2011-12-16,140848.2
2011-12-23,140863.9
2011-12-30,142475.5
2012-01-06,144136
2012-01-13,144112.5
2012-01-20,145175
2012-01-27,147381.1
2012-02-03,148128.7
2012-02-10,147935.1
2012-02-17,147835
2012-02-24,147968
2012-03-02,148848.4
2012-03-09,148528
