"total.date","total.values","pub.values","priv.values","edif.values","agua.values","elec.values","trans.values","petr.values","otras.values"
2011-06-01,97.2360622,109.38142192,83.29036916,96.71832279,114.64786976,74.2051363,132.63230586,85.17570805,37.64412766
2011-05-01,94.59469812,104.10990671,82.28235415,93.09056834,122.48361753,80.48222254,128.61040683,75.76322193,35.88306721
2011-04-01,91.86020233,102.32173629,79.39596557,92.19182716,144.88314856,79.47668795,127.17659488,56.88264557,38.13382939
2011-03-01,93.13321752,106.14871141,83.32592556,84.48195724,146.02098012,76.96197731,128.03421837,62.31442289,40.58641309
2011-02-01,90.55272807,102.27271394,79.50131115,93.45167407,125.80276469,70.65403531,120.90227558,51.61269695,46.81751777
2011-01-01,93.288281,105.13352543,78.22072758,95.38327635,139.61937145,81.66681566,100.35401654,71.55343676,48.47776614
2010-12-01,110.95590833,142.91434208,93.55158019,124.69968155,99.47456108,145.79000764,148.43299992,162.35854454,87.11076364
2010-11-01,107.80115431,137.05754809,91.5344457,122.58136587,87.55703056,120.88328959,154.53671564,200.49886518,73.48219344
2010-10-01,107.17750475,140.77730619,91.56921626,114.86435522,91.38598056,157.69464024,154.27845444,208.92525894,65.49474576
2010-09-01,100.93150899,134.13133765,84.84275627,106.16111217,89.56665141,112.10610145,156.05314843,217.69742017,49.49359739
2010-08-01,97.60843236,122.81548438,85.99992053,104.50049591,82.71517609,122.54275014,156.9003256,122.93608681,49.91808415
2010-07-01,96.75099638,120.60596313,83.37479099,98.91227861,81.51249404,66.07253567,149.3948237,142.96991187,46.80634867
2010-06-01,94.73536448,116.97948737,80.57913748,98.16243976,85.55796465,109.7707696,143.46745918,134.55804463,43.11710848
2010-05-01,93.89722176,121.04880601,80.36991788,96.42618882,85.63749319,153.66227077,139.87515575,133.08397672,38.71350633
2010-04-01,92.09722693,113.54593242,81.30515044,91.89845517,103.16797667,107.65848925,138.43137366,129.21034355,34.26493667
2010-03-01,93.55760418,114.92935866,82.58916672,90.68086609,102.08531797,159.38906085,133.4605241,131.55306626,55.34898951
2010-02-01,88.2115865,95.82426854,79.03662902,103.03762509,94.97148964,128.40492845,98.82293857,107.90556367,38.93187226
2010-01-01,89.9191352,98.69858365,82.6274366,114.59405455,101.13282377,116.31498069,92.2344679,104.27668967,41.09488377
2009-12-01,104.07124199,105.04180222,94.26676465,134.64797101,106.64057002,91.51853682,97.34093201,64.20980399,68.75242959
2009-11-01,100.41633961,106.29325123,90.61402784,116.41549749,103.37410678,69.0835683,108.95581465,73.65375686,59.14033515
2009-10-01,102.77863274,100.17005396,94.66620414,118.38039469,105.81863812,71.60185858,107.65718388,74.31768789,56.71602067
2009-09-01,96.44846239,88.70265286,95.86231868,118.10864822,92.4243104,54.5737081,99.01172426,56.47606174,51.75913661
2009-08-01,95.35211347,95.71352012,92.95292269,113.52957696,90.96650761,69.64426236,105.13991862,72.33255807,37.81365967
2009-07-01,100.68627943,93.55687411,101.05776927,123.62738448,122.15992378,66.45925165,109.43743343,57.24160099,45.94199505
2009-06-01,99.15203159,98.99471646,94.9299078,119.99615905,111.58689756,61.12002287,113.19142551,70.02452905,42.26416554
2009-05-01,94.6421893,92.50749967,91.15413463,128.06681731,123.22638044,61.41481756,102.38864294,63.28897121,42.57400651
2009-04-01,93.7355702,94.40793444,87.06863781,110.04626483,106.91141043,66.26058602,96.59352507,75.69379958,33.71054
2009-03-01,95.22176796,93.23135604,91.85827672,108.1923054,103.89818197,58.57009635,105.15030999,65.72161442,42.02618216
2009-02-01,94.16871042,90.25154372,91.61522212,109.02983457,109.01678406,68.86049248,107.16046636,61.18482036,42.96188791
2009-01-01,96.13314776,93.56642003,95.45802447,116.19061178,107.17558792,61.23946413,99.54664494,48.97951095,57.79906703
2008-12-01,115.96137535,98.19402651,113.19733798,109.03156415,100.188092,67.71494917,105.56826994,54.97791071,83.91992721
2008-11-01,105.62623052,85.00743372,109.25115489,110.01072866,91.4722027,52.11660254,102.2964527,50.07872535,65.05366038
2008-10-01,108.04682612,83.63902165,111.20464683,101.58968708,97.08935382,57.2247914,96.96675193,61.35222786,74.63943599
2008-09-01,103.39226427,80.76331637,104.95498298,95.78565224,84.18720104,47.84259036,92.99428354,48.84030137,60.03661522
2008-08-01,102.15263971,76.66378335,113.00888143,96.70422703,111.62272317,59.67813486,97.97903875,48.9328359,57.08495588
2008-07-01,108.20944425,83.67122255,117.90042016,104.0237506,106.045843,48.74000216,96.66759517,57.30775015,59.20839127
2008-06-01,105.21236781,82.52354305,111.55009784,104.71651644,97.37628548,52.71701929,94.174512,62.48809238,63.73678951
2008-05-01,101.03370377,77.38853503,114.22714883,115.55406359,97.28254728,33.06692716,91.72344201,60.69368659,47.56158958
2008-04-01,103.21072401,75.94096445,110.95470685,101.53915086,92.76211999,42.78110285,88.17267568,68.57850833,52.63816268
2008-03-01,98.90685395,71.22315362,114.95738582,98.5612979,125.53833152,41.0861945,87.77762941,67.05742718,52.02058476
2008-02-01,101.17064126,72.96336652,122.71856695,107.32302041,107.19440091,40.96489976,86.73104014,65.81924043,50.16157766
2008-01-01,106.0971089,82.80925948,121.95870034,107.45867823,127.90889726,40.68202222,95.76687556,77.45511213,62.56172725
2007-12-01,121.24098417,95.27750362,133.28972022,129.30899588,119.01211472,66.8964136,112.10433999,99.82638864,80.29046604
2007-11-01,112.68008545,87.69743689,126.9762316,138.59419142,104.02119388,55.51673646,100.82649462,109.94114258,77.32063464
2007-10-01,111.6090727,86.9287295,122.63827846,129.85737814,90.79160021,53.88070272,100.46553764,106.93012137,77.84898251
2007-09-01,108.25498481,81.68849694,120.42720099,127.36578108,88.70099166,43.05718653,95.48764571,102.33605227,74.91328292
2007-08-01,106.52064185,81.12555079,115.16926435,115.60383635,93.71017423,41.26093538,91.16137586,96.21902277,90.30206803
2007-07-01,105.98534916,78.47775812,122.7816594,116.35321237,89.69609482,38.36878139,93.12360518,92.24640554,100.63440768
2007-06-01,101.58575658,83.37672509,110.12398666,106.25095503,107.06143883,40.72703949,91.48025159,108.31555542,88.73656996
2007-05-01,100.04776339,82.34854201,106.77108274,110.01756789,71.19721431,50.36695911,92.59929932,116.16948237,81.13367106
2007-04-01,99.5905534,84.90514061,100.42101617,106.78760296,88.73414678,82.44149294,83.26910407,114.18407407,77.13969206
2007-03-01,103.32989393,89.29393943,100.03487868,111.47818025,79.88783048,74.94470711,90.02058058,112.12235848,76.02265324
2007-02-01,100.7798612,88.01161877,97.82603046,101.10728547,76.59242014,65.55660184,92.75820886,119.47077617,79.9210603
2007-01-01,104.15634271,82.99302222,115.13048351,112.86061309,93.90691304,64.46316695,90.31413437,126.98631461,84.83582592
2006-12-01,119.21752775,96.72487717,125.09476484,127.84308314,124.99926986,79.97865027,103.13344212,105.66901428,106.08229634
2006-11-01,111.81634884,87.74927985,116.00818404,113.59813423,134.40827049,89.46094673,90.10561822,88.5411063,109.24955842
